"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"1999"	"1999"	973	4430141	22.0
	"Alabama"	"01"	"2000"	"2000"	930	4447100	20.9
	"Alabama"	"01"	"2001"	"2001"	965	4467634	21.6
	"Alabama"	"01"	"2002"	"2002"	1023	4480089	22.8
	"Alabama"	"01"	"2003"	"2003"	1049	4503491	23.3
	"Alabama"	"01"	"2004"	"2004"	1036	4530729	22.9
	"Alabama"	"01"	"2005"	"2005"	1009	4569805	22.1
	"Alabama"	"01"	"2006"	"2006"	1061	4628981	22.9
	"Alabama"	"01"	"2007"	"2007"	994	4672840	21.3
	"Alabama"	"01"	"2008"	"2008"	1020	4718206	21.6
	"Alabama"	"01"	"2009"	"2009"	1082	4757938	22.7
	"Alabama"	"01"	"2010"	"2010"	1095	4779736	22.9
	"Alabama"	"01"	"2011"	"2011"	1037	4802740	21.6
	"Alabama"	"01"	"2012"	"2012"	1027	4822023	21.3
	"Alabama"	"01"	"2013"	"2013"	1047	4833722	21.7
	"Alabama"	"01"	"2014"	"2014"	1002	4849377	20.7
	"Alabama"	"01"	"2015"	"2015"	1023	4858979	21.1
	"Alabama"	"01"	"2016"	"2016"	1002	4863300	20.6
	"Alabama"	"01"	"2017"	"2017"	974	4874747	20.0
	"Alabama"	"01"	"2018"	"2018"	1026	4887871	21.0
	"Alabama"	"01"	"2019"	"2019"	1000	4903185	20.4
	"Alabama"	"01"	"2020 "	"2020"	1072	4921532	21.8
"Total"	"Alabama"	"01"			22447	103604166	21.7
	"Alaska"	"02"	"1999"	"1999"	33	624779	5.3
	"Alaska"	"02"	"2000"	"2000"	30	626932	4.8
	"Alaska"	"02"	"2001"	"2001"	24	633714	3.8
	"Alaska"	"02"	"2002"	"2002"	20	642337	3.1
	"Alaska"	"02"	"2003"	"2003"	28	648414	4.3
	"Alaska"	"02"	"2004"	"2004"	22	659286	3.3
	"Alaska"	"02"	"2005"	"2005"	36	666946	5.4
	"Alaska"	"02"	"2006"	"2006"	41	675302	6.1
	"Alaska"	"02"	"2007"	"2007"	38	680300	5.6
	"Alaska"	"02"	"2008"	"2008"	43	687455	6.3
	"Alaska"	"02"	"2009"	"2009"	41	698895	5.9
	"Alaska"	"02"	"2010"	"2010"	45	710231	6.3
	"Alaska"	"02"	"2011"	"2011"	50	722718	6.9
	"Alaska"	"02"	"2012"	"2012"	42	731449	5.7
	"Alaska"	"02"	"2013"	"2013"	49	735132	6.7
	"Alaska"	"02"	"2014"	"2014"	45	736732	6.1
	"Alaska"	"02"	"2015"	"2015"	48	738432	6.5
