"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"1999"	"1999"	13416	4430141	302.8
	"Alabama"	"01"	"2000"	"2000"	14025	4447100	315.4
	"Alabama"	"01"	"2001"	"2001"	13917	4467634	311.5
	"Alabama"	"01"	"2002"	"2002"	13978	4480089	312.0
	"Alabama"	"01"	"2003"	"2003"	13846	4503491	307.5
	"Alabama"	"01"	"2004"	"2004"	13606	4530729	300.3
	"Alabama"	"01"	"2005"	"2005"	13836	4569805	302.8
	"Alabama"	"01"	"2006"	"2006"	13775	4628981	297.6
	"Alabama"	"01"	"2007"	"2007"	13417	4672840	287.1
	"Alabama"	"01"	"2008"	"2008"	13815	4718206	292.8
	"Alabama"	"01"	"2009"	"2009"	13631	4757938	286.5
	"Alabama"	"01"	"2010"	"2010"	13464	4779736	281.7
	"Alabama"	"01"	"2011"	"2011"	13487	4802740	280.8
	"Alabama"	"01"	"2012"	"2012"	13074	4822023	271.1
	"Alabama"	"01"	"2013"	"2013"	13469	4833722	278.6
	"Alabama"	"01"	"2014"	"2014"	12467	4849377	257.1
	"Alabama"	"01"	"2015"	"2015"	12340	4858979	254.0
	"Alabama"	"01"	"2016"	"2016"	12341	4863300	253.8
	"Alabama"	"01"	"2017"	"2017"	12542	4874747	257.3
	"Alabama"	"01"	"2018"	"2018"	12883	4887871	263.6
	"Alabama"	"01"	"2019"	"2019"	12934	4903185	263.8
	"Alabama"	"01"	"2020 "	"2020"	16246	4921532	330.1
"Total"	"Alabama"	"01"			296509	103604166	286.2
	"Alaska"	"02"	"1999"	"1999"	672	624779	107.6
	"Alaska"	"02"	"2000"	"2000"	757	626932	120.7
	"Alaska"	"02"	"2001"	"2001"	757	633714	119.5
	"Alaska"	"02"	"2002"	"2002"	793	642337	123.5
	"Alaska"	"02"	"2003"	"2003"	825	648414	127.2
	"Alaska"	"02"	"2004"	"2004"	838	659286	127.1
	"Alaska"	"02"	"2005"	"2005"	827	666946	124.0
	"Alaska"	"02"	"2006"	"2006"	848	675302	125.6
	"Alaska"	"02"	"2007"	"2007"	835	680300	122.7
	"Alaska"	"02"	"2008"	"2008"	848	687455	123.4
	"Alaska"	"02"	"2009"	"2009"	991	698895	141.8
	"Alaska"	"02"	"2010"	"2010"	1001	710231	140.9
	"Alaska"	"02"	"2011"	"2011"	1075	722718	148.7
	"Alaska"	"02"	"2012"	"2012"	1154	731449	157.8
	"Alaska"	"02"	"2013"	"2013"	1202	735132	163.5
	"Alaska"	"02"	"2014"	"2014"	1079	736732	146.5
	"Alaska"	"02"	"2015"	"2015"	1129	738432	152.9
	"Alaska"	"02"	"2016"	"2016"	1166	741894	157.2
	"Alaska"	"02"	"2017"	"2017"	1142	739795	154.4
	"Alaska"	"02"	"2018"	"2018"	1172	737438	158.9
	"Alaska"	"02"	"2019"	"2019"	1173	731545	160.3
	"Alaska"	"02"	"2020 "	"2020"	1525	731158	208.6
"Total"	"Alaska"	"02"			21809	15300884	142.5
	"Arizona"	"04"	"1999"	"1999"	12353	5023823	245.9
	"Arizona"	"04"	"2000"	"2000"	12611	5130632	245.8
	"Arizona"	"04"	"2001"	"2001"	12766	5273477	242.1
	"Arizona"	"04"	"2002"	"2002"	13767	5396255	255.1
	"Arizona"	"04"	"2003"	"2003"	13889	5510364	252.1
	"Arizona"	"04"	"2004"	"2004"	13572	5652404	240.1
	"Arizona"	"04"	"2005"	"2005"	14256	5839077	244.1
	"Arizona"	"04"	"2006"	"2006"	14101	6029141	233.9
	"Arizona"	"04"	"2007"	"2007"	13601	6167681	220.5
	"Arizona"	"04"	"2008"	"2008"	13934	6280362	221.9
	"Arizona"	"04"	"2009"	"2009"	13487	6343154	212.6
	"Arizona"	"04"	"2010"	"2010"	14975	6392017	234.3
	"Arizona"	"04"	"2011"	"2011"	16786	6482505	258.9
	"Arizona"	"04"	"2012"	"2012"	16945	6553255	258.6
	"Arizona"	"04"	"2013"	"2013"	17620	6626624	265.9
	"Arizona"	"04"	"2014"	"2014"	18187	6731484	270.2
	"Arizona"	"04"	"2015"	"2015"	19246	6828065	281.9
	"Arizona"	"04"	"2016"	"2016"	20048	6931071	289.2
	"Arizona"	"04"	"2017"	"2017"	20616	7016270	293.8
	"Arizona"	"04"	"2018"	"2018"	20428	7171646	284.8
	"Arizona"	"04"	"2019"	"2019"	20352	7278717	279.6
	"Arizona"	"04"	"2020 "	"2020"	25770	7421401	347.2
"Total"	"Arizona"	"04"			359310	138079425	260.2
	"Arkansas"	"05"	"1999"	"1999"	8552	2651860	322.5
	"Arkansas"	"05"	"2000"	"2000"	8802	2673400	329.2
	"Arkansas"	"05"	"2001"	"2001"	8990	2691571	334.0
	"Arkansas"	"05"	"2002"	"2002"	9592	2705927	354.5
	"Arkansas"	"05"	"2003"	"2003"	9694	2724816	355.8
	"Arkansas"	"05"	"2004"	"2004"	9400	2749686	341.9
	"Arkansas"	"05"	"2005"	"2005"	9738	2781097	350.1
	"Arkansas"	"05"	"2006"	"2006"	9768	2821761	346.2
	"Arkansas"	"05"	"2007"	"2007"	9603	2848650	337.1
	"Arkansas"	"05"	"2008"	"2008"	10085	2874554	350.8
	"Arkansas"	"05"	"2009"	"2009"	10094	2896843	348.4
	"Arkansas"	"05"	"2010"	"2010"	9693	2915918	332.4
	"Arkansas"	"05"	"2011"	"2011"	9689	2937979	329.8
	"Arkansas"	"05"	"2012"	"2012"	9857	2949131	334.2
	"Arkansas"	"05"	"2013"	"2013"	9685	2959373	327.3
	"Arkansas"	"05"	"2014"	"2014"	10123	2966369	341.3
	"Arkansas"	"05"	"2015"	"2015"	10825	2978204	363.5
	"Arkansas"	"05"	"2016"	"2016"	11160	2988248	373.5
	"Arkansas"	"05"	"2017"	"2017"	11982	3004279	398.8
	"Arkansas"	"05"	"2018"	"2018"	12699	3013825	421.4
	"Arkansas"	"05"	"2019"	"2019"	13277	3017804	440.0
	"Arkansas"	"05"	"2020 "	"2020"	14761	3030522	487.1
"Total"	"Arkansas"	"05"			228069	63181817	361.0
	"California"	"06"	"1999"	"1999"	93514	33499204	279.2
	"California"	"06"	"2000"	"2000"	97119	33871648	286.7
	"California"	"06"	"2001"	"2001"	98051	34479458	284.4
	"California"	"06"	"2002"	"2002"	99491	34871843	285.3
	"California"	"06"	"2003"	"2003"	101655	35253159	288.4
	"California"	"06"	"2004"	"2004"	98749	35574576	277.6
	"California"	"06"	"2005"	"2005"	100190	35827943	279.6
	"California"	"06"	"2006"	"2006"	100533	36021202	279.1
	"California"	"06"	"2007"	"2007"	97827	36250311	269.9
	"California"	"06"	"2008"	"2008"	98271	36604337	268.5
	"California"	"06"	"2009"	"2009"	95666	36961229	258.8
	"California"	"06"	"2010"	"2010"	96849	37253956	260.0
	"California"	"06"	"2011"	"2011"	98797	37691912	262.1
	"California"	"06"	"2012"	"2012"	99569	38041430	261.7
	"California"	"06"	"2013"	"2013"	101528	38332521	264.9
	"California"	"06"	"2014"	"2014"	98008	38802500	252.6
	"California"	"06"	"2015"	"2015"	101997	39144818	260.6
	"California"	"06"	"2016"	"2016"	102746	39250017	261.8
